sale_id,customer_id,product_id,sale_date,quantity,total_amount
S0056,C087,P017,2024-10-06,5,739.45
S0057,C006,P078,2024-01-30,2,1868.78
S0058,C090,P085,2024-07-17,2,349.28
S0059,C050,P085,2024-08-18,2,349.28
S0060,C010,P087,2024-11-16,3,2567.82
S0061,C028,P043,2024-10-09,5,2830.95
S0062,C039,P038,2024-11-25,5,494.7
S0063,C071,P045,2024-10-02,1,119.56
S0064,C019,P036,2024-10-06,1,199.2
S0065,C066,P084,2024-06-07,4,1227.56
S0066,C044,P058,2024-03-01,4,636.88
S0067,C089,P007,2024-01-05,2,1889.44
S0068,C083,P024,2024-12-16,5,3788.1
S0069,C003,P021,2024-07-21,3,418.92
S0070,C091,P002,2024-02-13,1,776.32
S0071,C006,P097,2024-01-29,2,1880.64
S0072,C069,P033,2024-05-02,2,582.56
S0073,C077,P052,2024-08-08,3,1447.65
S0074,C016,P078,2024-07-19,5,4671.95
S0075,C045,P078,2024-12-20,4,3737.56
S0076,C098,P083,2024-02-08,1,874.38
S0077,C035,P092,2024-10-22,4,3710.04
S0078,C091,P095,2024-08-14,4,1562.72
S0079,C061,P072,2024-02-25,1,217.92
S0080,C058,P065,2024-02-27,4,2767.8
S0081,C081,P042,2024-10-26,5,1284.85
S0082,C028,P086,2024-10-03,1,690.48
S0083,C062,P066,2024-12-21,1,491.73
S0084,C058,P035,2024-07-03,1,607.37
S0085,C093,P065,2024-07-02,3,2075.85
S0086,C022,P094,2024-08-07,3,1207.5
S0087,C014,P047,2024-12-29,1,194.71
S0088,C100,P094,2024-04-14,5,2012.5
S0089,C040,P032,2024-07-03,5,1612.05
S0090,C051,P055,2024-07-10,3,2790.69
S0091,C008,P038,2024-12-10,3,296.82
S0092,C063,P012,2024-01-22,5,3599.65
S0093,C050,P047,2024-01-02,1,194.71
S0094,C063,P082,2024-06-22,2,486.08
S0095,C097,P100,2024-08-09,1,864.86
S0096,C021,P078,2024-01-02,4,3737.56
S0097,C001,P018,2024-08-11,3,808.08
S0098,C047,P021,2024-03-19,1,139.64
S0099,C044,P075,2024-04-12,4,3953.2
S0100,C092,P063,2024-02-27,3,398.73
S0101,C074,P087,2024-08-08,1,855.94
S0102,C060,P072,2024-12-19,5,1089.6
S0103,C065,P057,2024-12-12,4,2138.72
S0104,C082,P016,2024-04-14,5,1190.95
S0105,C011,P012,2024-09-15,2,1439.86
S0106,C082,P015,2024-10-23,5,2447.9
S0107,C087,P048,2024-06-11,3,2993.58
S0108,C086,P023,2024-03-31,4,3654.88
S0109,C053,P043,2024-03-14,3,1698.57
S0110,C079,P010,2024-10-04,5,2009
S0111,C032,P053,2024-09-05,4,2129.24
S0112,C035,P047,2024-03-27,4,778.84
S0113,C093,P008,2024-02-19,5,3628.2
S0114,C077,P059,2024-05-04,3,1793.94
S0115,C070,P022,2024-01-21,1,719.12
S0116,C009,P053,2024-03-02,5,2661.55
S0117,C039,P063,2024-06-22,4,531.64
S0118,C060,P064,2024-08-19,5,3569.7
S0119,C074,P035,2024-05-05,1,607.37
S0120,C085,P083,2024-10-29,1,874.38
S0121,C040,P015,2024-08-01,1,489.58
S0122,C097,P055,2024-12-31,3,2790.69
S0123,C072,P019,2024-02-01,2,1884.86
S0124,C037,P054,2024-04-24,5,3482.05
S0125,C072,P037,2024-05-28,3,2963.61
S0126,C047,P052,2024-08-27,4,1930.2
S0127,C082,P026,2024-03-04,2,1148.58
S0128,C054,P028,2024-07-06,4,2579.28
S0129,C094,P073,2024-07-10,4,2954.04
S0130,C016,P085,2024-08-26,4,698.56
S0131,C063,P002,2024-09-24,4,3105.28
S0132,C097,P050,2024-07-22,5,2550.95
S0133,C002,P005,2024-03-08,5,3259.8
S0134,C014,P026,2024-12-02,1,574.29
S0135,C023,P074,2024-10-07,5,4487.6
S0136,C008,P065,2024-06-16,5,3459.75
S0137,C033,P030,2024-05-29,5,610.85
S0138,C024,P042,2024-07-26,2,513.94
S0139,C070,P041,2024-06-03,3,2757.18
S0140,C035,P010,2024-06-18,3,1205.4
S0141,C048,P054,2024-04-18,3,2089.23
S0142,C076,P051,2024-06-04,2,1385.02
S0143,C039,P070,2024-02-23,4,1622.56
S0144,C024,P041,2024-12-04,1,919.06
S0145,C059,P065,2024-05-03,4,2767.8
S0146,C076,P100,2024-01-28,2,1729.72
S0147,C006,P018,2024-04-29,1,269.36
S0148,C077,P056,2024-10-29,2,1205.88
S0149,C068,P066,2024-10-14,1,491.73
S0150,C004,P060,2024-05-18,3,2143.59
S0151,C078,P004,2024-10-07,3,1011.99
S0152,C083,P099,2024-02-08,2,456.6
S0153,C056,P063,2024-10-09,2,265.82
S0154,C059,P062,2024-02-15,5,4252.55
S0155,C071,P078,2024-01-15,2,1868.78
S0156,C048,P082,2024-07-19,2,486.08
S0157,C022,P010,2024-12-20,2,803.6
S0158,C084,P004,2024-07-17,5,1686.65
S0159,C013,P046,2024-03-20,2,741.8
S0160,C080,P027,2024-06-20,5,2706.8
S0161,C061,P043,2024-04-18,2,1132.38
S0162,C038,P012,2024-12-12,5,3599.65
S0163,C060,P024,2024-08-24,2,1515.24
S0164,C072,P076,2024-11-23,1,551.53
S0165,C022,P082,2024-05-13,5,1215.2
S0166,C063,P066,2024-03-16,5,2458.65
S0167,C033,P044,2024-05-17,2,1382.52
S0168,C035,P089,2024-03-04,4,2343.44
S0169,C061,P064,2024-12-18,3,2141.82
S0170,C019,P064,2024-08-21,4,2855.76
S0171,C072,P008,2024-09-21,1,725.64
S0172,C082,P063,2024-12-29,2,265.82
S0173,C068,P045,2024-12-18,5,597.8
S0174,C007,P096,2024-12-02,4,1119.16
S0175,C072,P006,2024-10-06,3,717.78
S0176,C020,P059,2024-06-03,1,597.98
S0177,C051,P024,2024-11-20,4,3030.48
S0178,C015,P027,2024-06-23,5,2706.8
S0179,C036,P095,2024-10-23,5,1953.4
S0180,C032,P092,2024-08-05,1,927.51
S0181,C095,P014,2024-10-09,3,2015.52
S0182,C022,P022,2024-07-14,3,2157.36
S0183,C031,P015,2024-04-13,1,489.58
S0184,C032,P053,2024-01-29,4,2129.24
S0185,C055,P015,2024-11-09,2,979.16
S0186,C065,P054,2024-02-04,5,3482.05
S0187,C095,P024,2024-04-03,4,3030.48
S0188,C016,P036,2024-02-20,5,996
S0189,C020,P015,2024-11-09,2,979.16
S0190,C068,P008,2024-07-19,4,2902.56
S0191,C030,P020,2024-10-10,2,265.68
S0192,C060,P018,2024-01-14,3,808.08
S0193,C075,P017,2024-04-30,2,295.78
S0194,C012,P051,2024-07-15,5,3462.55
S0195,C012,P100,2024-09-18,1,864.86
S0196,C049,P083,2024-01-29,5,4371.9
S0197,C058,P033,2024-12-22,1,291.28
S0198,C062,P015,2024-03-11,4,1958.32
S0199,C055,P043,2024-06-30,5,2830.95
S0200,C040,P054,2024-03-28,3,2089.23
S0201,C062,P007,2024-07-20,5,4723.6
S0202,C073,P028,2024-04-29,5,3224.1
S0203,C064,P069,2024-11-28,3,2990.94
S0204,C087,P025,2024-10-23,5,1745.4
S0205,C058,P035,2024-05-16,3,1822.11
S0206,C064,P073,2024-03-30,3,2215.53
S0207,C025,P020,2024-08-01,1,132.84
S0208,C063,P092,2024-04-25,4,3710.04
S0209,C050,P073,2024-07-04,3,2215.53
S0210,C099,P083,2024-10-29,3,2623.14
S0211,C014,P076,2024-03-17,1,551.53
S0212,C070,P012,2024-05-10,4,2879.72
S0213,C007,P088,2024-06-10,2,1930.64
S0214,C040,P004,2024-01-06,4,1349.32
S0215,C046,P080,2024-08-17,2,1057.68
S0216,C077,P089,2024-10-19,3,1757.58
S0217,C067,P082,2024-05-06,2,486.08
S0218,C053,P067,2024-10-06,4,2482.68
S0219,C059,P009,2024-05-04,4,72
S0220,C016,P053,2024-03-31,2,1064.62
S0221,C058,P057,2024-07-11,4,2138.72
S0222,C034,P063,2024-04-28,3,398.73
S0223,C080,P032,2024-08-30,2,644.82
S0224,C035,P011,2024-03-11,4,2130.4
S0225,C016,P007,2024-08-20,2,1889.44
S0226,C048,P095,2024-08-30,2,781.36
S0227,C068,P047,2024-08-15,3,584.13
S0228,C013,P072,2024-05-12,3,653.76
S0229,C039,P080,2024-10-08,5,2644.2
S0230,C053,P007,2024-12-22,2,1889.44
S0231,C042,P093,2024-01-24,3,581.49
S0232,C078,P059,2024-08-31,5,2989.9
S0233,C043,P019,2024-03-17,4,3769.72
S0234,C083,P033,2024-08-13,2,582.56
S0235,C025,P002,2024-12-04,2,1552.64
S0236,C001,P027,2024-11-12,3,1624.08
S0237,C094,P073,2024-05-09,3,2215.53
S0238,C063,P063,2024-12-19,1,132.91
S0239,C054,P086,2024-10-15,3,2071.44
S0240,C082,P029,2024-09-06,4,1906.44
S0241,C006,P020,2024-02-06,1,132.84
S0242,C057,P028,2024-11-03,3,1934.46
S0243,C072,P086,2024-01-13,5,3452.4
S0244,C040,P078,2024-09-16,1,934.39
S0245,C046,P043,2024-06-09,2,1132.38
S0246,C042,P069,2024-11-06,2,1993.96
S0247,C008,P100,2024-07-08,3,2594.58
S0248,C086,P067,2024-02-09,2,1241.34
S0249,C085,P011,2024-02-09,5,2663
S0250,C076,P015,2024-12-08,1,489.58
S0251,C079,P069,2024-06-21,2,1993.96
S0252,C026,P012,2024-10-08,3,2159.79
S0253,C080,P091,2024-05-12,2,1947.68
S0254,C036,P076,2024-11-15,2,1103.06
S0255,C041,P082,2024-07-01,3,729.12
S0256,C064,P007,2024-06-05,5,4723.6
S0257,C043,P006,2024-06-02,4,957.04
S0258,C062,P053,2024-05-02,2,1064.62
S0259,C061,P082,2024-07-15,1,243.04
S0260,C085,P009,2024-05-24,1,18
S0261,C039,P038,2024-09-23,5,494.7
S0262,C064,P050,2024-11-05,2,1020.38
S0263,C055,P009,2024-08-09,1,18
S0264,C003,P041,2024-02-14,2,1838.12
S0265,C042,P045,2024-10-17,3,358.68
S0266,C074,P067,2024-07-06,3,1862.01
S0267,C010,P079,2024-12-06,2,26.9
S0268,C086,P064,2024-02-09,4,2855.76
S0269,C079,P053,2024-05-22,2,1064.62
S0270,C088,P014,2024-08-19,1,671.84
S0271,C077,P024,2024-01-30,2,1515.24
S0272,C076,P002,2024-06-25,2,1552.64
S0273,C018,P002,2024-06-10,1,776.32
S0274,C080,P066,2024-12-12,2,983.46
S0275,C089,P096,2024-10-23,1,279.79
S0276,C092,P028,2024-04-22,1,644.82
S0277,C044,P096,2024-11-25,4,1119.16
S0278,C028,P004,2024-08-21,5,1686.65
S0279,C034,P043,2024-06-05,2,1132.38
S0280,C070,P038,2024-08-09,5,494.7
S0281,C011,P012,2024-01-07,4,2879.72
S0282,C033,P039,2024-05-25,1,670.82
S0283,C092,P024,2024-08-05,2,1515.24
S0284,C099,P061,2024-10-04,1,612.2
S0285,C019,P092,2024-09-29,2,1855.02
S0286,C078,P012,2024-03-04,3,2159.79
S0287,C009,P034,2024-07-05,5,4402.45
S0288,C093,P096,2024-09-23,4,1119.16
S0289,C055,P077,2024-03-10,2,586.36
S0290,C005,P087,2024-04-05,2,1711.88
S0291,C032,P002,2024-06-07,2,1552.64
S0292,C038,P054,2024-01-17,3,2089.23
S0293,C087,P038,2024-12-27,1,98.94
S0294,C030,P071,2024-06-01,5,4769.75
S0295,C095,P021,2024-02-16,1,139.64
S0296,C022,P058,2024-03-22,3,477.66
S0297,C046,P012,2024-05-01,3,2159.79
S0298,C069,P033,2024-04-20,1,291.28
S0299,C047,P036,2024-01-11,3,597.6
S0300,C063,P028,2024-10-20,5,3224.1
S0301,C001,P035,2024-05-27,4,2429.48
S0302,C006,P080,2024-06-01,1,528.84
S0303,C008,P086,2024-05-31,4,2761.92
S0304,C006,P062,2024-01-02,5,4252.55
S0305,C068,P031,2024-07-10,5,3293.35
S0306,C083,P018,2024-02-12,2,538.72
S0307,C070,P052,2024-03-07,3,1447.65
S0308,C053,P024,2024-07-25,5,3788.1
S0309,C031,P073,2024-10-05,2,1477.02
S0310,C062,P049,2024-06-27,3,1124.61
S0311,C075,P025,2024-05-23,3,1047.24
S0312,C009,P068,2024-08-24,2,76.42
S0313,C056,P052,2024-05-31,2,965.1
S0314,C025,P100,2024-09-10,5,4324.3
S0315,C083,P073,2024-07-01,4,2954.04
S0316,C075,P002,2024-02-01,2,1552.64
S0317,C002,P070,2024-12-14,3,1216.92
S0318,C064,P016,2024-06-19,2,476.38
S0319,C058,P021,2024-02-04,5,698.2
S0320,C003,P004,2024-09-24,1,337.33
S0321,C062,P045,2024-07-02,5,597.8
S0322,C069,P008,2024-05-21,1,725.64
S0323,C025,P097,2024-01-14,2,1880.64
S0324,C071,P073,2024-05-03,3,2215.53
S0325,C054,P088,2024-02-13,4,3861.28
S0326,C020,P072,2024-09-23,5,1089.6
S0327,C044,P078,2024-09-30,3,2803.17
S0328,C053,P009,2024-07-08,2,36
S0329,C099,P026,2024-06-20,1,574.29
S0330,C017,P002,2024-01-31,5,3881.6
S0331,C062,P025,2024-08-20,5,1745.4
S0332,C036,P047,2024-02-02,4,778.84
S0333,C097,P016,2024-12-14,4,952.76
S0334,C032,P010,2024-06-07,1,401.8
S0335,C071,P089,2024-12-27,5,2929.3
S0336,C075,P070,2024-04-26,4,1622.56
S0337,C019,P050,2024-03-26,1,510.19
S0338,C029,P056,2024-10-24,1,602.94
S0339,C072,P076,2024-07-09,5,2757.65
S0340,C004,P027,2024-05-25,1,541.36
S0341,C035,P015,2024-09-26,2,979.16
S0342,C049,P035,2024-02-06,4,2429.48
S0343,C094,P082,2024-11-02,3,729.12
S0344,C066,P048,2024-08-25,1,997.86
S0345,C003,P086,2024-02-22,4,2761.92
S0346,C016,P069,2024-06-16,1,996.98
S0347,C070,P095,2024-12-19,3,1172.04
S0348,C093,P001,2024-12-22,5,4894.55
S0349,C090,P019,2024-09-15,3,2827.29
S0350,C063,P003,2024-04-20,5,352.6
S0351,C072,P064,2024-05-18,3,2141.82
S0352,C090,P031,2024-01-03,1,658.67
S0353,C035,P095,2024-06-09,2,781.36
S0354,C010,P097,2024-02-04,2,1880.64
S0355,C095,P049,2024-08-30,2,749.74
S0356,C077,P030,2024-11-28,5,610.85
S0357,C010,P040,2024-08-18,1,310.72
S0358,C035,P082,2024-12-26,2,486.08
S0359,C024,P044,2024-03-28,3,2073.78
S0360,C055,P038,2024-04-17,4,395.76
S0361,C048,P028,2024-06-21,2,1289.64
S0362,C071,P074,2024-12-06,4,3590.08
S0363,C051,P033,2024-11-19,5,1456.4
S0364,C062,P087,2024-04-12,5,4279.7
S0365,C026,P084,2024-06-26,2,613.78
S0366,C035,P066,2024-12-19,5,2458.65
S0367,C100,P076,2024-09-29,2,1103.06
S0368,C062,P056,2024-05-30,3,1808.82
S0369,C005,P086,2024-02-06,2,1380.96
S0370,C090,P059,2024-05-16,5,2989.9
S0371,C078,P024,2024-08-12,2,1515.24
S0372,C010,P092,2024-10-29,5,4637.55
S0373,C001,P002,2024-04-10,3,2328.96
S0374,C009,P095,2024-05-18,4,1562.72
S0375,C045,P083,2024-05-19,5,4371.9
S0376,C097,P013,2024-04-28,4,3827.84
S0377,C068,P050,2024-09-21,3,1530.57
S0378,C041,P095,2024-09-20,3,1172.04
S0379,C076,P048,2024-01-17,1,997.86
S0380,C012,P071,2024-12-19,5,4769.75
S0381,C082,P078,2024-12-15,3,2803.17
S0382,C021,P022,2024-09-11,3,2157.36
S0383,C070,P021,2024-11-26,1,139.64
S0384,C062,P036,2024-03-03,4,796.8
S0385,C028,P010,2024-08-01,3,1205.4
S0386,C017,P022,2024-05-29,1,719.12
S0387,C010,P081,2024-12-04,2,1037.12
S0388,C029,P086,2024-10-26,3,2071.44
S0389,C083,P035,2024-11-06,3,1822.11
S0390,C037,P092,2024-01-27,4,3710.04
S0391,C081,P053,2024-12-12,1,532.31
S0392,C085,P014,2024-06-17,1,671.84
S0393,C043,P092,2024-01-28,4,3710.04
S0394,C038,P033,2024-07-16,3,873.84
S0395,C077,P100,2024-12-16,3,2594.58
S0396,C049,P042,2024-08-29,3,770.91
S0397,C087,P087,2024-06-20,4,3423.76
S0398,C032,P005,2024-01-17,5,3259.8
S0399,C025,P002,2024-11-04,4,3105.28
S0400,C007,P007,2024-11-11,3,2834.16
S0401,C057,P032,2024-09-27,2,644.82
S0402,C091,P001,2024-08-23,1,978.91
S0403,C038,P018,2024-03-30,3,808.08
S0404,C023,P077,2024-02-04,1,293.18
S0405,C007,P039,2024-02-07,4,2683.28
S0406,C066,P071,2024-12-20,5,4769.75
S0407,C067,P067,2024-01-23,1,620.67
S0408,C004,P048,2024-09-25,3,2993.58
S0409,C026,P002,2024-01-19,5,3881.6
S0410,C098,P097,2024-07-12,1,940.32
S0411,C029,P001,2024-02-09,4,3915.64
S0412,C020,P016,2024-07-14,4,952.76
S0413,C084,P020,2024-02-26,5,664.2
S0414,C001,P029,2024-03-15,5,2383.05
S0415,C098,P017,2024-07-09,4,591.56
S0416,C076,P091,2024-05-25,1,973.84
S0417,C014,P068,2024-08-27,5,191.05
S0418,C077,P087,2024-02-04,3,2567.82
S0419,C095,P062,2024-10-27,1,850.51
S0420,C088,P094,2024-09-19,1,402.5
S0421,C058,P046,2024-01-29,5,1854.5
S0422,C074,P026,2024-07-31,2,1148.58
S0423,C033,P047,2024-02-21,2,389.42
S0424,C001,P075,2024-09-10,4,3953.2
S0425,C050,P056,2024-07-12,1,602.94
S0426,C043,P072,2024-05-01,3,653.76
S0427,C082,P051,2024-01-02,1,692.51
S0428,C062,P100,2024-09-24,5,4324.3
S0429,C009,P029,2024-02-03,4,1906.44
S0430,C031,P064,2024-02-04,3,2141.82
S0431,C065,P022,2024-11-24,3,2157.36
S0432,C096,P003,2024-07-29,5,352.6
S0433,C047,P100,2024-01-21,4,3459.44
S0434,C077,P042,2024-11-03,5,1284.85
S0435,C082,P013,2024-12-15,3,2870.88
S0436,C070,P055,2024-04-21,2,1860.46
S0437,C064,P052,2024-04-07,4,1930.2
S0438,C066,P038,2024-09-22,1,98.94
S0439,C048,P010,2024-12-11,2,803.6
S0440,C066,P040,2024-02-16,2,621.44
S0441,C009,P017,2024-05-19,4,591.56
S0442,C074,P070,2024-06-28,3,1216.92
S0443,C025,P052,2024-01-19,5,2412.75
S0444,C037,P078,2024-12-28,2,1868.78
S0445,C027,P032,2024-01-18,5,1612.05
S0446,C007,P063,2024-11-15,1,132.91
S0447,C059,P013,2024-02-20,5,4784.8
S0448,C088,P067,2024-10-24,3,1862.01
S0449,C053,P059,2024-12-31,1,597.98
S0450,C039,P092,2024-11-18,1,927.51
S0451,C049,P020,2024-10-08,5,664.2
S0452,C019,P038,2024-09-16,2,197.88
S0453,C029,P069,2024-12-10,3,2990.94
S0454,C006,P082,2024-04-03,1,243.04
S0455,C044,P090,2024-02-19,1,791.59
S0456,C008,P033,2024-08-24,3,873.84
S0457,C022,P010,2024-08-06,1,401.8
S0458,C032,P027,2024-01-20,5,2706.8
S0459,C059,P084,2024-02-11,3,920.67
S0460,C095,P002,2024-01-31,4,3105.28
S0461,C074,P035,2024-09-08,2,1214.74
S0462,C061,P081,2024-12-24,5,2592.8
S0463,C095,P078,2024-08-29,4,3737.56
S0464,C087,P082,2024-07-25,3,729.12
S0465,C031,P073,2024-06-27,3,2215.53
S0466,C097,P019,2024-06-29,2,1884.86
S0467,C087,P049,2024-07-08,2,749.74
S0468,C095,P083,2024-04-26,4,3497.52
S0469,C022,P053,2024-01-21,1,532.31
S0470,C088,P095,2024-09-15,2,781.36
S0471,C094,P082,2024-01-31,5,1215.2
S0472,C100,P053,2024-01-10,2,1064.62
S0473,C059,P082,2024-01-09,3,729.12
S0474,C017,P086,2024-12-12,4,2761.92
S0475,C012,P084,2024-08-12,1,306.89
S0476,C036,P072,2024-10-23,5,1089.6
S0477,C079,P023,2024-05-30,2,1827.44
S0478,C037,P057,2024-07-05,1,534.68
S0479,C100,P095,2024-01-19,3,1172.04
S0480,C087,P094,2024-12-18,4,1610
S0481,C022,P038,2024-03-28,4,395.76
S0482,C029,P067,2024-06-19,4,2482.68
S0483,C007,P096,2024-06-15,1,279.79
S0484,C033,P031,2024-09-22,2,1317.34
S0485,C057,P054,2024-07-18,2,1392.82
S0486,C033,P053,2024-01-26,1,532.31
S0487,C036,P059,2024-02-13,2,1195.96
S0488,C066,P043,2024-11-12,4,2264.76
S0489,C005,P022,2024-01-19,4,2876.48
S0490,C004,P020,2024-04-20,3,398.52
S0491,C037,P061,2024-02-10,1,612.2
S0492,C014,P039,2024-07-06,2,1341.64
S0493,C089,P048,2024-04-08,4,3991.44
S0494,C065,P084,2024-01-06,2,613.78
S0495,C064,P044,2024-10-31,4,2765.04
S0496,C017,P009,2024-02-07,1,18
S0497,C041,P081,2024-12-31,2,1037.12
S0498,C054,P025,2024-12-30,5,1745.4
S0499,C031,P045,2024-08-24,2,239.12
S0500,C076,P095,2024-09-13,2,781.36
S0501,C005,P077,2024-01-26,2,586.36
S0502,C047,P057,2024-07-26,3,1604.04
S0503,C069,P073,2024-01-14,2,1477.02
S0504,C038,P007,2024-04-28,1,944.72
S0505,C059,P046,2024-05-06,5,1854.5
S0506,C096,P067,2024-06-16,2,1241.34
S0507,C075,P038,2024-10-25,5,494.7
S0508,C081,P089,2024-11-30,2,1171.72
S0509,C007,P059,2024-08-16,3,1793.94
S0510,C084,P004,2024-05-10,5,1686.65
S0511,C067,P003,2024-04-21,5,352.6
S0512,C090,P055,2024-08-04,1,930.23
S0513,C084,P094,2024-10-10,5,2012.5
S0514,C086,P027,2024-02-08,1,541.36
S0515,C009,P060,2024-07-09,2,1429.06
S0516,C076,P076,2024-11-09,4,2206.12
S0517,C094,P031,2024-06-16,2,1317.34
S0518,C048,P057,2024-08-28,5,2673.4
S0519,C018,P058,2024-01-08,1,159.22
S0520,C078,P021,2024-01-19,4,558.56
S0521,C037,P073,2024-11-21,4,2954.04
S0522,C081,P082,2024-12-03,1,243.04
S0523,C068,P099,2024-11-25,5,1141.5
S0524,C100,P083,2024-07-17,3,2623.14
S0525,C005,P028,2024-07-04,4,2579.28
S0526,C037,P004,2024-04-01,4,1349.32
S0527,C095,P048,2024-01-21,1,997.86
S0528,C067,P016,2024-04-20,5,1190.95
S0529,C054,P020,2024-05-16,2,265.68
S0530,C039,P030,2024-09-28,2,244.34
S0531,C037,P066,2024-09-09,1,491.73
S0532,C093,P067,2024-07-04,4,2482.68
S0533,C064,P013,2024-11-19,1,956.96
S0534,C023,P047,2024-03-17,3,584.13
S0535,C042,P005,2024-03-21,5,3259.8
S0536,C082,P093,2024-11-21,1,193.83
S0537,C072,P077,2024-12-05,1,293.18
S0538,C065,P089,2024-03-11,2,1171.72
S0539,C089,P091,2024-07-12,5,4869.2
S0540,C015,P060,2024-05-20,3,2143.59
S0541,C057,P095,2024-03-09,5,1953.4
S0542,C004,P088,2024-05-25,5,4826.6
S0543,C018,P011,2024-03-14,1,532.6
S0544,C055,P071,2024-03-06,3,2861.85
S0545,C046,P039,2024-12-22,3,2012.46
S0546,C100,P059,2024-05-02,4,2391.92
S0547,C050,P015,2024-12-13,3,1468.74
S0548,C096,P083,2024-11-10,3,2623.14
S0549,C006,P099,2024-03-17,4,913.2
S0550,C072,P092,2024-06-01,2,1855.02
S0551,C026,P050,2024-07-08,5,2550.95
S0552,C064,P020,2024-03-05,2,265.68
S0553,C048,P039,2024-06-30,5,3354.1
S0554,C049,P088,2024-07-29,4,3861.28
S0555,C018,P002,2024-03-27,4,3105.28
S0556,C056,P012,2024-06-04,4,2879.72
S0557,C058,P045,2024-07-04,5,597.8
S0558,C013,P080,2024-05-18,5,2644.2
S0559,C024,P006,2024-10-29,5,1196.3
S0560,C077,P005,2024-02-09,3,1955.88
S0561,C075,P075,2024-07-01,2,1976.6
S0562,C016,P061,2024-07-18,5,3061
S0563,C069,P036,2024-01-01,1,199.2
S0564,C051,P011,2024-06-20,2,1065.2
S0565,C065,P082,2024-10-17,1,243.04
S0566,C002,P002,2024-08-13,4,3105.28
S0567,C094,P019,2024-10-07,5,4712.15
S0568,C029,P027,2024-06-10,4,2165.44
S0569,C062,P056,2024-08-30,2,1205.88
S0570,C059,P009,2024-09-05,2,36
S0571,C010,P052,2024-11-02,1,482.55
S0572,C024,P018,2024-06-05,1,269.36
S0573,C053,P083,2024-12-01,2,1748.76
S0574,C076,P047,2024-07-26,2,389.42
S0575,C074,P034,2024-12-10,3,2641.47
S0576,C012,P097,2024-04-25,1,940.32
S0577,C058,P094,2024-03-20,2,805
S0578,C047,P027,2024-12-13,5,2706.8
S0579,C090,P006,2024-07-09,1,239.26
S0580,C030,P021,2024-05-17,5,698.2
S0581,C001,P047,2024-01-01,2,389.42
S0582,C024,P069,2024-07-03,1,996.98
S0583,C043,P088,2024-06-14,2,1930.64
S0584,C082,P063,2024-11-07,5,664.55
S0585,C022,P028,2024-01-28,4,2579.28
S0586,C042,P090,2024-07-23,3,2374.77
S0587,C004,P100,2024-02-03,3,2594.58
S0588,C026,P026,2024-06-19,5,2871.45
S0589,C035,P072,2024-12-24,5,1089.6
S0590,C032,P074,2024-10-18,3,2692.56
S0591,C076,P062,2024-01-13,3,2551.53
